tag,Area,Roundness,Hu_1,Hu_2,Hu_3,Hu_4,Hu_5,Hu_6,Hu_7
A,24556,0.21645062049934474,0.0012815372533977278,1.0062555293005395e-08,1.4022169118494808e-09,5.0294547057348596e-11,-1.284656776890662e-20,4.700594540481109e-15,-3.6549604491812494e-21
A,18464,0.17273040192150993,0.0015533984036053057,3.908197347422729e-08,3.1191317394202916e-09,1.7767166744364747e-10,-8.975228478570764e-20,-1.1606810496686042e-14,9.715190346616823e-20
F,27210,0.6434033964573924,0.0014184649264767381,2.640508570161579e-07,8.767447480934222e-10,1.8923657774296462e-10,6.062423049881681e-20,-7.074884880651799e-15,-4.760354730855252e-20
A,24298,0.21780958471319392,0.0013022787607398563,3.4911359324457273e-09,1.5255440601801196e-09,5.089588926808827e-11,-1.1634727567932858e-20,2.6821010248598586e-15,8.10933242034069e-21
D,24243,0.19781201300704926,0.0018593397545490873,1.2796866155349502e-09,6.808766467678426e-10,6.709785635060721e-12,-4.4685905751252975e-22,-1.8671419171519972e-16,7.744725598910546e-23
D,38841,0.5894099758873621,0.001228914407042763,1.016403477534708e-09,5.028603876116028e-11,6.627729224000311e-14,-5.247025106334166e-26,6.520958383410327e-19,-1.090270317679596e-25
S,20062,0.14645911988845559,0.0019292796458145077,3.3318186075794974e-07,2.50225968668633e-10,4.82866574030989e-11,5.250431111298852e-21,7.211176084067534e-15,-7.776387148051697e-22
S,29822,0.17532824460496707,0.0014228966179389755,2.361495624800818e-08,2.0295324425710085e-11,7.478490623703729e-13,2.7598317168074956e-24,-7.84999642999089e-17,9.337900551159297e-25
S,44873,0.34417159947396186,0.0007647812894812903,4.370642699893921e-09,1.0130103178888148e-12,3.836287698555924e-14,7.544085315479251e-27,-3.6758334936544614e-19,5.294990210167031e-28
D,33350,0.4682992146624693,0.0015299422866957985,8.276719870369471e-09,1.307063984077797e-10,3.050044849299026e-13,-1.0745144979613818e-26,1.343544068199912e-17,1.925754856588942e-24
S,25633,0.2051668353225164,0.0016574815726867085,1.332730629827727e-07,1.2187597354068986e-10,5.766044901840753e-12,8.038556975480093e-23,-1.9904100931073704e-15,-1.3000933441287821e-22
D,30413,0.40203132622696175,0.0016882658032997214,2.0049508932041097e-08,1.94259946557869e-10,2.8114625325358764e-12,-5.693466100726785e-23,3.842326707876636e-16,-3.27936831812787e-23
A,30733,0.33049388785959866,0.001032394200681558,2.99799582313364e-10,6.794091206793353e-10,1.9403977419508716e-11,-2.22755307765464e-21,2.9660429388690956e-16,4.105974111677318e-23
F,23437,0.21625699898357056,0.0014064164538410077,3.0561255597796624e-07,1.3290399519486264e-09,3.1425754930947935e-10,1.8018761364543199e-19,-1.551924296692932e-14,-9.37000131642234e-20
F,26980,0.23195258006049915,0.0013699836565897517,1.8451703543749843e-07,8.715175065022053e-10,1.2241779841267088e-10,1.6201195318099915e-20,-1.3414256477684548e-14,-3.6556517325788403e-20
A,18143,0.15859175254908592,0.0016971687187947362,1.007427839157837e-07,3.487452975284437e-09,8.785422235422731e-11,-4.013049227157618e-21,1.0573705949338158e-14,4.846344566648044e-20
G,20350,0.08943078901458312,0.0019132141243683243,7.719984037431787e-08,3.398602429701693e-10,8.397673688717399e-11,8.19636486691315e-21,2.1496389794470423e-14,1.157967254151035e-20
F,32834,0.5376819352597281,0.0009369353045091846,3.1188440451241893e-07,1.3188789011091262e-10,1.605458409914316e-11,-3.583626368469846e-23,-5.47220403247424e-15,-7.378863469851487e-22
G,49956,0.5726696372780435,0.0007119542319300751,3.894404487219284e-09,1.561343412599746e-11,7.74904204809444e-13,-2.6895262401750855e-24,-3.356630632587934e-17,-1.77661229389656e-25
G,25523,0.10342436724987164,0.0012600451460787444,4.975396391480785e-09,3.507263709288866e-11,4.788008530918164e-12,4.924374472538517e-23,2.7450559753587907e-16,3.7746645974076323e-23
G,33393,0.22855288676640886,0.001260700734056961,6.7010773798032056e-09,3.1696682453161556e-11,1.5691953880612537e-12,4.6105385601939455e-24,-1.1715609924694838e-16,-1.0060676389869155e-23
G,27175,0.17983780022645435,0.0016914041450623103,4.011639603514507e-09,1.7546432751733882e-10,3.4560018559720704e-11,1.2597028226567533e-21,-1.3288074711575394e-15,-2.3782387567859825e-21
G,28204,0.16927136945508692,0.001609339939314884,2.4271894287947467e-08,1.5122897763244516e-10,1.6532840308512246e-11,2.881145140116917e-22,-2.568029706553053e-15,-7.7485088179345015e-22
G,26030,0.11425713100299884,0.001241852390526764,1.1875448292611066e-08,3.318050262742336e-11,4.04397540518201e-12,4.0196146183899194e-23,2.5698091433211217e-16,2.4054788712499956e-23
F,35730,0.3473137289423348,0.0009165553750523105,1.3071914018162972e-07,1.5897285998764062e-10,2.340959723997698e-12,-4.236258712502078e-23,-7.858062452514048e-16,-1.5646803882964727e-23
G,46896,0.5176268864529985,0.0007159910216992388,4.594158539660561e-09,1.6298517710884387e-11,8.555835426761375e-13,-3.15383311709137e-24,-4.56564421258499e-17,-5.110894499107464e-25
F,22715,0.13765678458003885,0.0016253168323227762,2.545556617325171e-07,1.1848734393485592e-09,5.100175012560856e-11,5.656036223876032e-21,-2.0578360783280895e-14,-1.1189284262045371e-20
A,24170,0.17618018522900422,0.0012112409558934641,4.562891980142043e-09,1.4784835148581545e-09,1.0539103752578175e-10,-3.725161103823293e-20,-5.828690907742385e-15,-1.8521347695858064e-20
